year,distinct_ids,distinct_oclc_numbers,distinct_hathitrust_records,cce_records
1923,19477,12346,13221,6977
1924,18416,11865,12801,6895
1925,18222,11441,12234,7536
1926,18920,12200,13153,7600
1927,19804,12508,13348,8500
1928,20265,13124,14078,9795
1929,23221,13628,14507,10045
1930,21653,14366,15350,10308
1931,21672,13396,14270,9837
1932,19263,12430,13344,8994
1933,18500,11906,12610,8268
1934,19284,12970,13809,8605
1935,20863,13047,13857,9484
1936,21143,13873,14789,9199
1937,22094,14117,14907,7550
1938,22944,14644,15515,11097
1939,23611,15197,16073,9649
1940,23892,15579,16497,10235
1941,24252,15215,16104,10122
1942,22219,14462,15347,8452
1943,19863,13208,13936,6851
1944,19585,13080,13947,6265
1945,19882,12991,13771,6233
1946,22618,15098,15950,8875
1947,25914,16524,17380,10123
1948,26151,16874,17821,9619
1949,28325,18368,19304,10758
1950,28016,18886,19815,11450
1951,26477,17739,18590,11459
1952,27025,18063,18915,11513
1953,27252,18598,19448,45408
1954,29063,19516,20378,47297
1955,30075,20646,21543,49499
1956,30149,20685,21629,48395
1957,31706,21224,22186,55395
1958,33223,22195,23117,52654
1959,36091,24687,25668,53725
1960,39754,27346,28300,55798
1961,40367,27639,28605,61203
1962,44878,28953,30009,63612
1963,44050,29428,30508,65284
1964,44320,28753,29938,69415